ADES,DATE,N,N_VALID,SUM_TRAVEL,SUM_REF,CHECK_ADD,SUM_ADD_TIME,OK,AVG_ADD_TIME
SBSV,2023-09-01T00:00:00Z,2638,2637,62196.316666666666,57451.30333333434,4745.013333333338,4745.013333332325,TRUE,1.799398306155603
SBSV,2023-10-01T00:00:00Z,2721,2720,65217.95000000009,59202.68666666772,6015.263333333351,6015.263333332368,TRUE,2.211493872548665
SBSV,2023-11-01T00:00:00Z,2571,2570,61299.299999999974,55844.663333334385,5454.636666666667,5454.636666665589,TRUE,2.1224267185469214
SBSV,2023-12-01T00:00:00Z,3032,3031,72012.35000000011,65698.05000000105,6314.3,6314.299999999057,TRUE,2.083239854833077
SBKP,2023-01-01T00:00:00Z,5272,3608,95613.34999999989,84216.16333333291,11397.186666666666,11397.186666666981,TRUE,3.158865484109474
SBKP,2023-02-01T00:00:00Z,4605,3200,85277.71666666672,74654.67333333321,10623.043333333333,10623.04333333351,TRUE,3.319701041666722
SBKP,2023-03-01T00:00:00Z,4848,3359,88693.46666666653,77780.50333333254,10912.963333333344,10912.963333333988,TRUE,3.2488726803614134
SBKP,2023-04-01T00:00:00Z,4609,3153,82319.51666666676,72831.09999999966,9488.416666666666,9488.416666667108,TRUE,3.009329738873171
SBKP,2023-05-01T00:00:00Z,4908,3402,87966.28333333315,78564.44333333304,9401.84,9401.840000000113,TRUE,2.763621399176988
SBKP,2023-06-01T00:00:00Z,4619,3203,82337.15000000023,74446.70666666598,7890.443333333348,7890.443333334246,TRUE,2.4634540534918035
SBKP,2023-07-01T00:00:00Z,4939,3412,88594.76666666653,79658.79999999957,8935.966666666702,8935.966666666965,TRUE,2.6189820242283015
SBKP,2023-08-01T00:00:00Z,4986,3540,91468.41666666682,82334.27333333419,9134.143333333328,9134.143333332628,TRUE,2.5802664783425504
SBKP,2023-09-01T00:00:00Z,4533,3154,80260.5333333334,73428.07666666614,6832.45666666666,6832.456666667262,TRUE,2.1662830268444075
SBKP,2023-10-01T00:00:00Z,4893,3383,87874.25000000028,79010.29999999885,8863.950000000004,8863.950000001423,TRUE,2.620144841856761
SBKP,2023-11-01T00:00:00Z,4732,3245,82707.15000000014,75637.18666666566,7069.963333333334,7069.963333334483,TRUE,2.1787252182848946
SBKP,2023-12-01T00:00:00Z,4803,3427,85834.46666666673,80151.8966666668,5682.569999999997,5682.569999999934,TRUE,1.6581762474467272
SBSP,2023-01-01T00:00:00Z,8488,8465,251217.1500000005,204293.68333334496,46923.46666666657,46923.46666665553,TRUE,5.543232919864799
SBSP,2023-02-01T00:00:00Z,7365,7337,226323.6000000007,178526.5766666751,47797.02333333351,47797.023333325604,TRUE,6.514518649764972
SBSP,2023-03-01T00:00:00Z,8346,8316,257136.8500000002,200293.9900000157,56842.85999999986,56842.8599999845,TRUE,6.835360750358887
SBSP,2023-04-01T00:00:00Z,7948,7921,246622.23333333328,189674.5166666783,56947.716666666696,56947.716666654975,TRUE,7.189460505826912
SBSP,2023-05-01T00:00:00Z,9276,9273,278133.08333333395,221540.11000001733,56592.97333333338,56592.97333331662,TRUE,6.102984291309891
